,dim1,dim2,city,country,region,"GHGe intensity 2004","GHGe intensity 2009","CDD 23C","HDD 15.5C","commerce index","diesel price","gas price","GDP/capita","household size",population,"population density","urban ratio",water_bounded
260,-7.1938918697,2.3755907188,Ruhr,Germany,OECD90,596,,47,2071,55.3111428571,1.56,1.56,32987.55,2.3187931035,7356500,3653,73.4,0
261,8.7963352549,4.3408646423,San Diego,USA,OECD90,643,,52,319,55.3111428571,0.78,0.56,26508.41,2.75,2626714,1455,80.7,1
262,8.98304896,3.2623736672,San Francisco,USA,OECD90,643,,11,1542,52.39,0.78,0.56,37154.47,2.61,3837896,2054,80.7,1
263,-6.052432342,0.929500359,Sapporo,Japan,ASIA,421,,73,2819,46.1127777778,1.3,1.42,37074.79,3.44,1757025,7212,86,1
264,3.3998478657,-3.2862941181,Seoul,South Korea,ASIA,535,,246,2213,61.83,1.4,1.51,10305.26,2.51,20576272,23035,81.3,0
265,-16.2501942797,7.7491357879,Stuttgart,Germany,OECD90,596,,52,2460,55.3111428571,1.56,1.56,40341.71,1.93,585604,5894,73.4,0
266,3.9360728299,-6.1690162611,Taipei,China,ASIA,707,,936,101,53.32,0.69,0.64,13035.73,3.44,5960673,23012,71.3,1
267,4.2771583108,-7.334430903,Tehran,Iran,ASIA,585,,904,1191,46.1127777778,0.03,0.1,2550.95,3.44,6800000,11412,67.6,0
268,-2.1233142129,-0.7446864771,Tel Aviv,Israel,ASIA,873,,695,250,46.5,1.7,1.37,14624.61,3.44,2458155,7230,91.5,1
269,1.8831121133,-11.1106660422,Tunis,Tunisia,MAF,583,,557,413,35.29,0.84,0.96,2140.92,3.9384210526,1874600,9144,65.1,1
270,9.1420185908,2.3464183817,Vancouver,Canada,OECD90,224,,10,2173,51.1,0.9,0.76,25793.02,2.6,1898687,2161,80.1,1
271,8.7378723818,3.2927044564,Washington,USA,OECD90,643,,407,1698,51.19,0.78,0.56,34419.51,2.64,3739330,1433,80.7,0
272,9.2573173933,5.8397170943,Wellington,New Zealand,OECD90,180,,2,977,55.3111428571,0.85,1.09,17972.42,2.3187931035,366411,2198,86.1,1
